epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,3975.83,0.41432,0.21362,0.7427,0.96005,0.78137,0.85262,0.68493,0.37147,0.18812,0.73865,0.005545,0.005545,0.005545
137,4004.98,0.41326,0.21342,0.74187,0.96621,0.78351,0.85342,0.68316,0.37183,0.1884,0.73858,0.005512,0.005512,0.005512
138,4034.13,0.41441,0.21203,0.74257,0.95717,0.78323,0.84942,0.68244,0.37224,0.18768,0.73863,0.005479,0.005479,0.005479
139,4063.48,0.41222,0.21149,0.74235,0.95648,0.77828,0.83936,0.67687,0.37216,0.18712,0.73877,0.005446,0.005446,0.005446
140,4092.68,0.41073,0.21144,0.74233,0.96227,0.77522,0.85253,0.68593,0.37105,0.18715,0.73839,0.005413,0.005413,0.005413
141,4121.93,0.41241,0.2115,0.7419,0.9626,0.77748,0.85331,0.6853,0.37153,0.18639,0.7386,0.00538,0.00538,0.00538
142,4151.14,0.40794,0.21022,0.74205,0.96145,0.78088,0.8536,0.68195,0.37001,0.18658,0.7384,0.005347,0.005347,0.005347
143,4180.32,0.40924,0.21018,0.74242,0.96436,0.77445,0.84172,0.67695,0.36938,0.18561,0.73828,0.005314,0.005314,0.005314
144,4209.61,0.40941,0.21117,0.7421,0.95857,0.78341,0.85147,0.68295,0.36902,0.18574,0.73821,0.005281,0.005281,0.005281
145,4238.81,0.40776,0.20919,0.74248,0.97052,0.78655,0.85804,0.68738,0.36748,0.18536,0.73799,0.005248,0.005248,0.005248
146,4268.03,0.40645,0.20882,0.74189,0.97324,0.78351,0.85095,0.68618,0.36978,0.1855,0.73828,0.005215,0.005215,0.005215
147,4297.26,0.40437,0.20822,0.74166,0.96275,0.77846,0.85237,0.68303,0.36896,0.18513,0.73822,0.005182,0.005182,0.005182
148,4326.41,0.40613,0.20936,0.74203,0.96211,0.78251,0.84719,0.68042,0.36793,0.1845,0.73801,0.005149,0.005149,0.005149
149,4355.59,0.40476,0.20782,0.74228,0.96574,0.7719,0.83914,0.67844,0.36848,0.1841,0.73814,0.005116,0.005116,0.005116
150,4384.91,0.40345,0.2072,0.74193,0.96952,0.78121,0.86125,0.68955,0.36693,0.18402,0.73786,0.005083,0.005083,0.005083
151,4414.12,0.40175,0.20677,0.74196,0.95511,0.77849,0.85286,0.68453,0.36714,0.18359,0.73776,0.00505,0.00505,0.00505
152,4443.29,0.40262,0.20741,0.7416,0.97281,0.77612,0.85855,0.68697,0.36663,0.18354,0.73774,0.005017,0.005017,0.005017
153,4472.44,0.39998,0.20567,0.74214,0.96259,0.77085,0.84384,0.6785,0.36595,0.1825,0.738,0.004984,0.004984,0.004984
154,4501.7,0.40239,0.20653,0.74197,0.96657,0.77401,0.85101,0.68524,0.36704,0.18302,0.73802,0.004951,0.004951,0.004951
155,4531,0.39912,0.20558,0.74186,0.96532,0.78218,0.84685,0.67912,0.36742,0.18384,0.738,0.004918,0.004918,0.004918
156,4560.21,0.39701,0.20434,0.7407,0.95625,0.78496,0.83725,0.67267,0.36474,0.18229,0.73756,0.004885,0.004885,0.004885
157,4589.45,0.39991,0.20442,0.74059,0.96573,0.78239,0.84924,0.68172,0.36539,0.18221,0.7375,0.004852,0.004852,0.004852
158,4618.67,0.39757,0.20468,0.74167,0.9651,0.78661,0.84799,0.67686,0.36606,0.18192,0.73773,0.004819,0.004819,0.004819
159,4647.83,0.39586,0.20347,0.74179,0.96693,0.78259,0.85058,0.68005,0.3655,0.18168,0.73772,0.004786,0.004786,0.004786
160,4676.99,0.39569,0.20304,0.74083,0.96463,0.77487,0.84424,0.68139,0.36401,0.1811,0.73737,0.004753,0.004753,0.004753
161,4706.35,0.39608,0.20292,0.7416,0.95971,0.77562,0.85077,0.6866,0.3636,0.18034,0.73759,0.00472,0.00472,0.00472
162,4735.49,0.3918,0.20187,0.74129,0.97506,0.77934,0.85703,0.68552,0.36255,0.18031,0.73749,0.004687,0.004687,0.004687
163,4764.64,0.39237,0.20194,0.74064,0.96046,0.78058,0.84405,0.6773,0.36305,0.18058,0.73742,0.004654,0.004654,0.004654
164,4793.87,0.39612,0.20386,0.74018,0.97197,0.7814,0.84803,0.68334,0.36334,0.18053,0.73742,0.004621,0.004621,0.004621
165,4823.09,0.39324,0.20197,0.74009,0.97486,0.77299,0.84616,0.68225,0.36347,0.18051,0.73737,0.004588,0.004588,0.004588
166,4852.43,0.39095,0.20129,0.74019,0.97831,0.7751,0.8427,0.68277,0.36175,0.17988,0.73726,0.004555,0.004555,0.004555
167,4881.53,0.3905,0.20053,0.74109,0.97728,0.77976,0.85193,0.6901,0.36112,0.17881,0.73729,0.004522,0.004522,0.004522
168,4910.72,0.39158,0.20103,0.73986,0.97312,0.7782,0.85404,0.69014,0.3618,0.17902,0.7373,0.004489,0.004489,0.004489
169,4939.91,0.38879,0.20032,0.73965,0.97505,0.78005,0.85394,0.68907,0.36318,0.17913,0.73744,0.004456,0.004456,0.004456
170,4969.03,0.38903,0.20058,0.74006,0.97025,0.78174,0.8583,0.6942,0.36087,0.17862,0.73731,0.004423,0.004423,0.004423
171,4998.21,0.38708,0.19827,0.74064,0.97599,0.78354,0.85827,0.69475,0.36101,0.17863,0.73725,0.00439,0.00439,0.00439
172,5027.53,0.38824,0.2002,0.7408,0.97346,0.77826,0.8521,0.68898,0.36013,0.17825,0.73719,0.004357,0.004357,0.004357
173,5056.68,0.38511,0.19823,0.73926,0.96997,0.77827,0.84896,0.68322,0.35997,0.1784,0.73709,0.004324,0.004324,0.004324
174,5085.74,0.38437,0.19784,0.74031,0.97332,0.77696,0.85234,0.68562,0.36044,0.17785,0.73704,0.004291,0.004291,0.004291
175,5114.9,0.38593,0.19873,0.74,0.97345,0.77615,0.85445,0.6887,0.36082,0.17812,0.73716,0.004258,0.004258,0.004258
176,5144.09,0.38385,0.19691,0.74049,0.96819,0.77615,0.84693,0.68233,0.36075,0.17782,0.73711,0.004225,0.004225,0.004225
177,5173.29,0.38185,0.19622,0.7399,0.96482,0.77716,0.84672,0.68548,0.3593,0.17683,0.73688,0.004192,0.004192,0.004192
178,5202.48,0.38165,0.19657,0.73953,0.96873,0.78104,0.85333,0.68731,0.35971,0.17737,0.73692,0.004159,0.004159,0.004159
179,5231.6,0.38451,0.19755,0.73973,0.96061,0.78143,0.85232,0.68793,0.35858,0.17668,0.73674,0.004126,0.004126,0.004126
180,5260.78,0.38205,0.1959,0.74009,0.95548,0.77908,0.84729,0.68225,0.35804,0.17648,0.73675,0.004093,0.004093,0.004093
181,5289.9,0.3798,0.19468,0.73986,0.95991,0.77738,0.84828,0.68572,0.35863,0.17671,0.73674,0.00406,0.00406,0.00406
182,5319.07,0.38066,0.19539,0.73959,0.95686,0.77933,0.84863,0.68589,0.3584,0.17631,0.73668,0.004027,0.004027,0.004027
183,5348.23,0.38062,0.19453,0.73937,0.95855,0.7719,0.8481,0.68539,0.35872,0.17647,0.73668,0.003994,0.003994,0.003994
184,5377.52,0.3802,0.19604,0.73958,0.96103,0.77208,0.85135,0.69242,0.35787,0.17575,0.73662,0.003961,0.003961,0.003961
185,5406.66,0.37866,0.19391,0.73869,0.96281,0.77417,0.85343,0.68866,0.3584,0.17606,0.73671,0.003928,0.003928,0.003928
186,5435.82,0.37611,0.19432,0.73906,0.96127,0.7719,0.8554,0.69134,0.35822,0.17615,0.73669,0.003895,0.003895,0.003895
187,5465.01,0.37641,0.19391,0.73919,0.96455,0.77396,0.85246,0.68972,0.35749,0.17556,0.73666,0.003862,0.003862,0.003862
188,5494.23,0.37397,0.19215,0.73911,0.9631,0.77515,0.85325,0.69,0.35698,0.1749,0.7366,0.003829,0.003829,0.003829
